technology,group,parameters,technology-entry,description
solar_res_RT8,,,,FIXME Something related to rooftop solar?
solar_th_ppl,,,,Solar thermal power plant with storage
stor_ppl,,,,Generic electric storage
wind_curtailment1,,,,Wind curtailment steps
wind_curtailment2,,,,Wind curtailment steps
wind_curtailment3,,,,Wind curtailment steps
wind_cv1,,,,"Wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind"
wind_cv2,,,,"Wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind"
wind_cv3,,,,"Wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind"
wind_cv4,,,,"Wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind"
wind_ppl,,,,Wind power plant onshore (provides capacity only)
wind_res1,,,,Wind onshore potential and generation 1
wind_res2,,,,Wind onshore potential and generation 2
wind_res3,,,,Wind onshore potential and generation 3
wind_res4,,,,Wind onshore potential and generation 4
wind_res_hist_2000,,,,Currently installed wind onshore capacity with 2005 year bin
wind_res_hist_2005,,,,Currently installed wind onshore capacity with 2005 year bin
wind_res_hist_2010,,,,Currently installed wind onshore capacity with 2010 year bin
wind_res_hist_2015,,,,Currently installed wind onshore capacity with 2015 year bin
wind_res_hist_2020,,,,Currently installed wind onshore capacity with 2020 year bin
wind_res_hist_2025,,,,Currently installed wind onshore capacity with 2025 year bin.
wind_ppf,,,,Wind power plant offshore (provides capacity only)
wind_ref1,,,,Wind offshore potential and generation 1
wind_ref2,,,,Wind offshore potential and generation 2
wind_ref3,,,,Wind offshore potential and generation 3
wind_ref4,,,,Wind offshore potential and generation 4
wind_ref5,,,,Wind offshore potential and generation 5
wind_ref_hist_2000,,,,Currently installed wind offshore capacity with 2000 year bin
wind_ref_hist_2005,,,,Currently installed wind offshore capacity with 2005 year bin
wind_ref_hist_2010,,,,Currently installed wind offshore capacity with 2010 year bin
wind_ref_hist_2015,,,,Currently installed wind offshore capacity with 2015 year bin
wind_ref_hist_2020,,,,Currently installed wind offshore capacity with 2020 year bin
wind_ref_hist_2025,,,,Currently installed wind offshore capacity with 2025 year bin.
csp_sm3_res,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 1
csp_sm3_res1,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 2
csp_sm3_res2,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 3
csp_sm3_res3,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 4
csp_sm3_res4,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 5
csp_sm3_res5,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 6
csp_sm3_res6,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 7
csp_sm3_res7,,,,Concentrating solar power (CSP) with solar multiple of 3 potential and generation 8
csp_sm3_ppl,,,,Concentrating solar power (CSP) with solar multiple of 3 (provides capacity only)
csp_sm1_res,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 1
csp_sm1_res1,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 2
csp_sm1_res2,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 3
csp_sm1_res3,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 4
csp_sm1_res4,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 5
csp_sm1_res5,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 6
csp_sm1_res6,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 7
csp_sm1_res7,,,,Concentrating solar power (CSP) with solar multiple of 1 potential and generation 8
csp_sm1_ppl,,,,Concentrating solar power (CSP) with solar multiple of 1 (provides capacity only)
bio_extr_1,,,,Biomass Extraction
bio_extr_2,,,,Biomass Extraction
bio_extr_3,,,,Biomass Extraction
bio_extr_4,,,,Biomass Extraction
bio_extr_5,,,,Biomass Extraction
bio_extr_6,,,,Biomass Extraction
coal_extr,,,,"Hard coal extraction, world average grade A"
coal_extr_ch4,,,,Describes efforts in CH4-reduction from coal mining
flaring_CO2,,,,Co2 emissions from gas flaring
gas_extr_1,,,,"Natural gas extraction, Cat I = Master et al.14.WPC ""Identified Reserves"""
gas_extr_2,,,,"Natural gas extraction, Cat II = Master et al.14.WPC ""Mode"" undiscovered natural gas"
gas_extr_3,,,,"Natural gas extraction, Cat III = Masters  et al.14.WPC Difference between ""Mode and 5%""  undiscovered natural gas"
gas_extr_4,,,,"Natural gas extraction, Cat IV = Estimated enhanced Recovery (30% of Resources I+II+III)  plus 15% of historical production"
gas_extr_5,,,,"Natural gas extraction, Cat V = Non-conventional reserves (20% of Coal bed; 15% of fractured Shale; 15% of Tight formation)"
gas_extr_6,,,,"Natural gas extraction, Cat VI -VII= Non-conventional resources. Rest of Coal bed (80%), fractured Shale (85%) and Tight formation (85%) were aggregated and then distributed to VI (40%) nd VII (60%)"
gas_extr_mpen,,,,Common Market penetration for all gas extraction technologies
lignite_extr,,,,"Lignite extraction, world average grade A"
oil_extr_1,,,,"Crude oil extraction, Cat I = Masters 14 WPC conv. oil reserves"
oil_extr_1_ch4,,,,Describes efforts in CH4-reduction from oil extraction of Cat I
oil_extr_2,,,,"Crude oil extraction, Cat II = Masters mode undiscovered conv. oil (incl. NGL)"
oil_extr_2_ch4,,,,Describes efforts in CH4-reduction from oil extraction of Cat II
oil_extr_3,,,,"Crude oil extraction, Cat III = Masters 5% - Masters 50%"
oil_extr_3_ch4,,,,Describes efforts in CH4-reduction from oil extraction of Cat III
oil_extr_4,,,,"Crude oil extraction, Cat IV = Recoverable ""reserves"" non-conventional oil"
oil_extr_4_ch4,,,,Describes efforts in CH4-reduction from oil extraction of Cat IV
oil_extr_5,,,,"Crude oil extraction, Cat V = Recoverable reserves of nonconventional oil = Shale, tarsands/bitumen and heavy oils"
oil_extr_6,,,,"Crude oil extraction, Cat VI = 20% of estimated occurrences (-reserves) of shale, heavy oils, tarsands/bitumen"
oil_extr_mpen,,,,Common Market penetration for all oil extraction technologies
Feeds_1,,,,Conservation cost curve step for industry feedstock demand
Feeds_2,,,,Conservation cost curve step for industry feedstock demand
Feeds_3,,,,Conservation cost curve step for industry feedstock demand
Feeds_4,,,,Conservation cost curve step for industry feedstock demand
Feeds_5,,,,Conservation cost curve step for industry feedstock demand
Feeds_con,,,,Joint diffusion constraint for feedstock conservation cost curve steps
coal_fs,,,,Coal as industry feedstock
ethanol_fs,,,,Ethanol as industry feedstock
foil_fs,,,,Fuel oil as industry feedstock
gas_fs,,,,Gas as industry feedstock
loil_fs,,,,Lightoil as industry feedstock
methanol_fs,,,,Methanol as industry feedstock
coal_gas,,,,Hard coal gasification
g_ppl_co2scr,,,,CO2 scrubber for natural gas power plant
gas_bal,,,,Link technology to stabilize gas production
gas_bio,,,,Synthesis gas production from biomass
gas_imp,,,,Piped Gas imports
gas_rc,,,,Gas heating in residential/commercial sector
gas_t_d,,,,Transmission/Distribution of gas
gas_t_d_ch4,,,,Transmission/Distribution of gas with CH4 mitigation
gfc_co2scr,,,,New co2 scrubber for gas fuel cells
glb_gas_exp,,,,Global net export of gas
glb_LNG_exp,,,,Global net export of liquified natural gas
h2_mix,,,,Hydrogen injection into the natural gas system
LNG_bal,,,,Link technology to stabilize liquified natural gas production
LNG_imp,,,,LNG Imports
LNG_regas,,,,LNG regasification (just link; losses are in trade)
bio_hpl,,,,Biomass heating plant
coal_hpl,,,,Coal heating plant
foil_hpl,,,,Fuel oil heating plant
gas_hpl,,,,Natural gas heating plant
geo_hpl,,,,Geothermal heat plant
heat_t/d,,,,Transmission/Distribution of district heat
po_turbine,,,,Pass out turbine
glb_lh2_imp,,,,Global net import of liquid hydrogen
h2_bio,,,,Hydrogen production from biomass with C (via gasification)
h2_bio_ccs,,,,Hydrogen production from biomass with C (via gasification) with carbon capture and storage
h2_co2_scrub,,,,CO2 scrubber for h2 production from coal and gas
h2_coal,,,,Hydrogen production via coal gasification
h2_coal_ccs,,,,Hydrogen production via coal gasification with carbon capture and storage
h2_elec,,,,Hydrogen production via electrolysis
h2_liq,,,,Hydrogen liquefaction
h2_smr,,,,Hydrogen production via steam-methane reforming of natural gas
h2_smr_ccs,,,,Hydrogen production via steam-methane reforming of natural gas with carbon capture and storage
h2_t/d,,,,Transmission/Distribution of gaseous hydrogen (just linking technology)
h2b_co2_scrub,,,,CO2 scrubber for h2 production from biomass
lh2_bal,,,,Link technology to stabilize liquid hydrogen production
lh2_exp,,,,Exports of liquid hydrogen
lh2_imp,,,,Imports of liquid hydrogen
lh2_regas,,,,Regasification of liquid hydrogen
lh2_t/d,,,,Transmission/Distribution of liquid hydrogen
back_bio_ind,,,,Backstop for diagnosing model infeasibility
back_fs,,,,Backstop for diagnosing model infeasibility
back_I,,,,Backstop for diagnosing model infeasibility
cement_CO2,,,,Co2 emissions from cement production
cement_co2scr,,,,Cement CO2 scrubber (CCS)
coal_i,,,,Coal in industry thermal
elec_i,,,,Electricity in industry thermal
eth_i,,,,Ethanol (without C) replacement for use as liquid fuel in industry thermal
foil_i,,,,Fuel oil for thermal uses in industry thermal
gas_i,,,,Gas for thermal uses in industry thermal
h2_i,,,,Gaseous hydrogen in industry thermal
heat_i,,,,District heating for thermal uses in industry thermal
hp_el_i,,,,Electric heat pump in industry thermal
hp_gas_i,,,,Natural gas heat pump in industry thermal
loil_i,,,,Lightoil for thermal uses in industry thermal
meth_i,,,,Methanol (with C) replacement for use as liquid fuel in industry thermal
solar_i,,,,Solar thermal in industry thermal sector
Ispec_1,,,,Conservation cost curve step for industry specific demand
Ispec_2,,,,Conservation cost curve step for industry specific demand
Ispec_3,,,,Conservation cost curve step for industry specific demand
Ispec_4,,,,Conservation cost curve step for industry specific demand
Ispec_5,,,,Conservation cost curve step for industry specific demand
Ispec_con,,,,Joint diffusion constraint for industry specific conservation cost curve steps
Itherm_1,,,,Conservation cost curve step for industry thermal demand
Itherm_2,,,,Conservation cost curve step for industry thermal demand
Itherm_3,,,,Conservation cost curve step for industry thermal demand
Itherm_4,,,,Conservation cost curve step for industry thermal demand
Itherm_5,,,,Conservation cost curve step for industry thermal demand
Itherm_con,,,,Joint diffusion constraint for industry thermal conservation cost curve steps
solar_pv_I,,,,On-site solar photovoltaic power plant (no storage) in industry specific
h2_fc_I,,,,Hydrogen fuel cell cogeneration system for industry specific
sp_coal_I,,,,Specific use of coal in industry
sp_el_I,,,,Specific use of electricity in industry
sp_eth_I,,,,Ethanol (without net C) replacement for specific use of light oil in industry
sp_liq_I,,,,Specific use of light oil in industry
sp_meth_I,,,,Methanol (with C) replacement for  specific use of light oil in industry
bio_extr_mpen,,,,Slack primary biomass created with new implementation of non commercial biomass
forest_CO2,,,,Co2 emissions from forests
sinks_1,,,,Potential for sinks (50. US$)
sinks_2,,,,Potential for sinks (100. US$)
sinks_3,,,,Potential for sinks (200. US$)
sinks_4,,,,Potential for sinks (300. US$)
eth_bal,,,,Link technology to stabilize ethanol production
eth_bio,,,,Ethanol synthesis via biomass gasification
eth_bio_ccs,,,,Ethanol synthesis via biomass gasification with carbon capture and storage
eth_exp,,,,Exports of ethanol (no accounting of CO2 transferred)
eth_imp,,,,Imports of ethanol (no accounting of CO2 transferred)
eth_t/d,,,,Transmission/Distribution of methanol without net C (just linking technology)
foil_exp,,,,Net exports of crude oil at 95% of oil price
foil_imp,,,,Net imports of residual oil at 95% of oil price
foil_t/d,,,,Transmission/Distribution of fueloil  (just linking technology)
glb_eth_imp,,,,Global net import of ethanol
glb_foil_exp,,,,Global net export of fuel oil
glb_foil_imp,,,,Global net import of fuel oil
glb_loil_exp,,,,Global net export of light oil
glb_loil_imp,,,,Global net import of light oil
glb_meth_imp,,,,Global net import of methanol
glb_oil_exp,,,,Global net export of crude oil
glb_oil_imp,,,,Global net import of crude oil
liq_bio,,,,Second Generation Ethanol Production based on Biomass to FTL
liq_bio_ccs,,,,Second Generation Ethanol Production with carbon capture and storage based on Biomass to FTL
loil_exp,,,,Net exports of crude oil at 15% above oil price
loil_imp,,,,Net imports of light oil at 15% above crude price
loil_std,,,,Standard light oil power-plant
loil_t/d,,,,Transmission/Distribution of light oil (just linking technology)
meth_coal,,,,Methanol synthesis via coal gasification
meth_coal_ccs,,,,Methanol synthesis via coal gasification with carbon capture and storage
meth_exp,,,,Exports of methanol (no accounting of CO2 transferred)
meth_imp,,,,Imports of methanol (no accounting of CO2 transferred)
meth_ng,,,,Methanol synthesis via natural gas
meth_ng_ccs,,,,Methanol synthesis via natural gas with carbon capture and storage
meth_t/d,,,,Transmission/Distribution of methanol with C
oil_bal,,,,Link technology to stabilize crude oil production
oil_exp,,,,Net exports of crude oil at 100% of oil price
oil_imp,,,,Net imports of oil
plutonium_prod,,,,Plutonium production
ref_hil,,,,New deeply upgraded refineries
ref_lol,,,,Existing refineries (low yield)
SO2_scrub_ref,,,,SO2 scrubber for refineries
syn_liq,,,,Coal liquefaction and light oil synthesis
syn_liq_ccs,,,,Coal liquefaction and light oil synthesis with carbon capture and storage
adipic_thermal,,,,Thermal destruction tech for adipic acid sector
ammonia_secloop,,,,Ammonia Secondary Loop Systems
enre_con,,,,Joint diffusion constraint for enteric fermentation mitigation technologies
ent_red1,,,,Mitigation for CH4 emissions from animals directly
ent_red2,,,,Mitigation for CH4 emissions from animals directly
ent_red3,,,,Mitigation for CH4 emissions from animals directly
landfill_compost1,,,,Landfill mitigation technology (composting) technology 1 for CH4 mitigation
landfill_compost2,,,,Landfill mitigation technology (composting) technology 2 for CH4 mitigation
landfill_direct1,,,,Landfill mitigation technology (direct) 1 for CH4 mitigation
landfill_direct2,,,,Landfill mitigation technology (direct) 1 for CH4 mitigation
landfill_ele,,,,Landfill mitigation technology (ele) 1 for CH4 mitigation
landfill_flaring,,,,Landfill mitigation technology (flaring) 1 for CH4 mitigation
landfill_heatprdn,,,,Landfill mitigation technology (heat production) 1 for CH4 mitigation
landfill_oxdn,,,,Landfill mitigation technology (oxidation) 1 for CH4 mitigation
leak_repair,,,,"Leak-repairs, HFC-134a from refrigeration & AC(SR)"
leak_repairsf6,,,,Recycling gas carts for SF6 recovery during assembly of gas insulated equipment
lfil_con,,,,Joint diffusion constraint for landfill mitigation technologies
manu_con,,,,Joint diffusion constraint for manure management+B249 mitigation technologies
meth_bal,,,,Link technology to stabilize methanol production
mvac_co2,,,,Transcritical vapor cycle CO2 systems for mobile vehicle air conditioners
recycling_gas1,,,,Recycling gas carts for SF6 recovery during maintenance of gas insulated equipment(SR)
refrigerant_recover,,,,"Recovery of refrigerant, HFC-134a from refrigeration and AC (SR)"
repl_hc,,,,Replacement with HC for foams
replacement_so2,,,,Replacing SF6 by SO2(SR)
rice_red1,,,,Mitigation for CH4 emissions from rice
rice_red2,,,,Mitigation for CH4 emissions from rice
rice_red3,,,,Mitigation for CH4 emissions from rice
rire_con,,,,Joint diffusion constraint for rice cultivation mitigation technologies
soil_red1,,,,Mitigation for N2Oemissions from soil
soil_red2,,,,Mitigation for N2Oemissions from soil
soil_red3,,,,Mitigation for N2Oemissions from soil
vertical_stud,,,,Soderberg process for CF4 from aluminum (SR)
u5-reproc,,,,Uranium reprocessing
Uran_extr,,,,"Uranium extraction, milling for FBR blanket"
uran2u5,,,,"Uranium extraction, milling, fluorination and enrichment per t U5"
bco2_tr_dis,,,,Technology for co2 transportation and disposal from biomass technologies
co2_tr_dis,,,,Technology for co2 transportation and disposal
back_rc,,,,Backstop for diagnosing model infeasibility
solar_rc,,,,Solar thermal in residential/commercial sector
biomass_rc,,,,Biomass with C for heating in residential/commercial sector
coal_rc,,,,Coal heating in residential/commercial sector
elec_rc,,,,Electricity heating in residential/commercial sector
eth_rc,,,,Ethanol (without C) replacement for use as liquid fuel in residential/commercial
foil_rc,,,,Fuel oil heating in residential/commercial sector
h2_rc,,,,Hydrogen (gaseous) catalytic heating in the residential/commercial sector
heat_rc,,,,District heating in residential/commercial sector
hp_el_rc,,,,Electric heat pump in residential/commercial sector
hp_gas_rc,,,,Natural gas heat pump in residential/commercial sector
loil_rc,,,,Lightoil heating in residential/commercial sector
meth_rc,,,,Methanol (with C) replacement for use as liquid fuel in residential/commercial
RCspec_1,,,,Conservation cost curve step for residential/commercial specific demand
RCspec_2,,,,Conservation cost curve step for residential/commercial specific demand
RCspec_3,,,,Conservation cost curve step for residential/commercial specific demand
RCspec_4,,,,Conservation cost curve step for residential/commercial specific demand
RCspec_5,,,,Conservation cost curve step for residential/commercial specific demand
RCspec_con,,,,Joint diffusion constraint for residential/commercial specific conservation cost curve steps
RCtherm_1,,,,Conservation cost curve step for residential/commercial thermal demand
RCtherm_2,,,,Conservation cost curve step for residential/commercial thermal demand
RCtherm_3,,,,Conservation cost curve step for residential/commercial thermal demand
RCtherm_4,,,,Conservation cost curve step for residential/commercial thermal demand
RCtherm_5,,,,Conservation cost curve step for residential/commercial thermal demand
RCtherm_con,,,,Joint diffusion constraint for residential/commercial thermal conservation cost curve steps
solar_pv_RC,,,,Specific use of on-site solar photovoltaic power plant (no storage) in residential/commercial
sp_el_RC,,,,Specific use of electricity in residential/commercial
h2_fc_RC,,,,Specific use of hydrogen fuel cell cogeneration system in res/comm
bio_extr_chp,,,,"Supply of biomass without net C emissions;  defined here as agricultural wastes, and other crops with cycle of 1 year or less"
bio_ppl_co2scr,,,,New coal scrubber for power plants
biomass_i,,,,Biomass with C in industry thermal
biomass_nc,,,,Non-commercial biomass with C
biomass_t/d,,,,Transmission/Distribution of biomass with C
c_ppl_co2scr,,,,New coal scrubber for coal power plants
cfc_co2scr,,,,Co2 scrubber for coal fuel cells (CCS)
coal_bal,,,,Link technology to stabilize coal production
coal_exp,,,,Net exports of coal at fixed price of about US$ 42/tce
coal_imp,,,,Net imports of coal
coal_t/d,,,,Transmission/Distribution of coal
coal_t/d-in-06%,,,,Transmission/Distribution of coal industry like coal_t/d but imported coal  with 0.6% S content
coal_t/d-in-SO2,,,,Transmission/Distribution of coal industry like coal_t/d but processed coal
coal_t/d-rc-06%,,,,Transmission/Distribution of coal residential/commercial like coal_t/d but imported coal with 0.6% S content
coal_t/d-rc-SO2,,,,Transmission/Distribution of coal like coal_t/d but processed coal
glb_coal_exp,,,,Global net export of coal
glb_coal_imp,,,,Global net import of coal
back_trp,,,,Backstop for diagnosing model infeasibility
coal_trp,,,,Coal-based transport
elec_trp,,,,Electricity-based transport
eth_fc_trp,,,,Ethanol (without net C) fuel cell-based transport
eth_ic_trp,,,,Ethanol (without net C) ic-engine-based transport
foil_trp,,,,Fueloil-based transport
gas_trp,,,,Gas-based transport
h2_fc_trp,,,,Hydrogen fuel cell-based transport (plus off-hours electricity generation)
loil_trp,,,,Lightoil-based transport
meth_fc_trp,,,,Methanol (with C) fuel cell-based transport
meth_ic_trp,,,,Methanol (with C) ic-engine-based transport
Trans_1,,,,Conservation cost curve step for transport demand
Trans_2,,,,Conservation cost curve step for transport demand
Trans_3,,,,Conservation cost curve step for transport demand
Trans_4,,,,Conservation cost curve step for transport demand
Trans_5,,,,Conservation cost curve step for transport demand
Trans_con,,,,Joint diffusion constraint for transport conservation cost curve steps
foil_bunker,,,,Fuel oil demand for international shipping bunkers (global trade)
loil_bunker,,,,Light oil demand for international shipping bunkers (global trade)
meth_bunker,,,,Methanol demand for international shipping bunkers (global trade)
eth_bunker,,,,Ethanol demand for international shipping bunkers (global trade)
LNG_bunker,,,,Liquified natural gas demand for international shipping bunkers (global trade)
LH2_bunker,,,,Liquified hydrogen  demand for international shipping bunkers (global trade)
LH2_tobunker,,,,Added in the ScenarioMIP7/SSP2024 project.
LNG_occ_bunker,,,,Added in the ScenarioMIP7/SSP2024 project.
LNG_tobunker,,,,Added in the ScenarioMIP7/SSP2024 project.
NH3_tobunker,,,,Added in the ScenarioMIP7/SSP2024 project.
eth_tobunker,,,,Added in the ScenarioMIP7/SSP2024 project.
foil_occ_bunker,,,,Added in the ScenarioMIP7/SSP2024 project.
loil_occ_bunker,,,,Added in the ScenarioMIP7/SSP2024 project.
loil_tobunker,,,,Added in the ScenarioMIP7/SSP2024 project.
meth_tobunker,,,,Added in the ScenarioMIP7/SSP2024 project.
